Brand,brand_number,model,model_number,Year,Age,kmDriven,Transmission,Owner,FuelType,AskPrice
Honda,0,City,0,2001,23,98000.0,1,1,0,195000
Volkswagen,1,VentoTest,1,2010,14,77246.0,1,0,1,184999
Maruti Suzuki,2,Swift,2,2017,7,83500.0,1,1,1,565000
Maruti Suzuki,2,Baleno,3,2019,5,45000.0,0,0,0,685000
BMW,3,X3,4,2014,10,83000.0,0,0,1,1350000
Maruti Suzuki,2,maruti-suzuki-dzire,5,2020,4,33759.0,1,1,0,622000
Ford,4,Ecosport,6,2017,7,69713.0,1,1,0,649000
Maruti Suzuki,2,Alto-K10,7,2018,6,70000.0,0,0,0,395000
Maruti Suzuki,2,Swift-Dzire,8,2012,12,72700.0,1,1,0,240000
Toyota,5,Corolla,9,2007,17,121931.0,0,1,0,201350
Hyundai,6,Xcent,10,2018,6,130000.0,1,1,1,330000
Kia,7,Seltos,11,2020,4,68000.0,1,0,1,1045000
Maruti Suzuki,2,Ertiga,12,2016,8,65000.0,1,1,1,785000
Maruti Suzuki,2,Ertiga,12,2017,7,59000.0,0,1,0,555000
BMW,3,3 Series GT,13,2015,9,61000.0,0,1,1,1500000
Toyota,5,Innova Crysta,14,2017,7,107000.0,0,0,1,1325000
Audi,8,A3,15,2015,9,42000.0,0,1,1,1050000
Renault,9,KWID,16,2019,5,48073.0,0,1,0,355000
MG,10,Hector,17,2019,5,32618.0,0,0,0,1250000
Maruti Suzuki,2,Swift-Dzire,8,2012,12,70000.0,1,1,1,315000
Maruti Suzuki,2,Celerio,18,2014,10,51000.0,0,1,0,345000
Maruti Suzuki,2,Vitara-Brezza,19,2018,6,137000.0,1,0,1,845000
Toyota,5,Innova Crysta,14,2017,7,90000.0,1,1,1,1950000
Toyota,5,Innova,20,2011,13,84000.0,1,1,1,490000
Hyundai,6,Venue,21,2021,3,17000.0,1,0,0,685000
Maruti Suzuki,2,Ertiga,12,2018,6,70000.0,1,1,0,749000
Hyundai,6,Creta,22,2023,1,5000.0,0,0,0,1600000
Hyundai,6,Alcazar,23,2022,2,47110.0,1,1,1,1695000
Hyundai,6,i20,24,2019,5,35000.0,1,0,0,585000
Volkswagen,1,Polo,25,2021,3,42000.0,1,1,0,675000
Maruti Suzuki,2,Baleno,3,2018,6,30000.0,1,1,0,630000
Hyundai,6,Verna,26,2016,8,82100.0,1,1,1,465000
Audi,8,A4,27,2012,12,90000.0,0,1,1,899000
Maruti Suzuki,2,Swift-Dzire,8,2020,4,94856.0,1,0,0,690000
Skoda,11,Kushaq,28,2023,1,12000.0,0,0,0,1800000
Toyota,5,Innova Crysta,14,2018,6,118000.0,0,0,1,1795000
Mercedes-Benz,12,C-Class,29,2016,8,41000.0,0,1,0,2000000
Honda,0,City,0,2010,14,79000.0,1,1,0,290000
Honda,0,BRV,30,2016,8,103001.0,1,1,1,555555
Hyundai,6,Creta,22,2017,7,70000.0,1,1,0,765000
Renault,9,Duster,31,2018,6,130000.0,1,0,1,690000
Maruti Suzuki,2,Wagon-R,32,2011,13,78000.0,1,1,0,225000
Mahindra,13,Bolero Power Plus,33,2017,7,160000.0,1,1,1,550000
Hyundai,6,Eon,34,2017,7,27000.0,1,1,0,300000
MG,10,Hector Plus,35,2020,4,81600.0,0,0,0,1021000
Hyundai,6,Creta,22,2017,7,54000.0,0,0,0,811000
Mahindra,13,XUV500,36,2018,6,76000.0,1,0,1,1125000
Hyundai,6,i10,37,2011,13,65000.0,1,1,0,115000
Mercedes-Benz,12,GLA Class,38,2018,6,60000.0,0,1,1,1450000
Kia,7,Carens,39,2023,1,24000.0,1,0,0,1225000
Toyota,5,Innova,20,2011,13,100231.0,1,1,1,429101
Maruti Suzuki,2,Ignis,40,2023,1,13000.0,1,1,0,610000
Hyundai,6,Grand i10,41,2017,7,47000.0,1,0,0,519999
Hyundai,6,Getz Prime,42,2007,17,115031.0,1,1,0,140000
Maruti Suzuki,2,Swift,2,2014,10,67000.0,1,0,0,280000
Hyundai,6,Xcent,10,2016,8,74500.0,1,0,1,425000
Honda,0,City,0,2016,8,93000.0,0,1,0,575000
Maruti Suzuki,2,Ritz,43,2015,9,59000.0,1,0,0,295000
Hyundai,6,Verna,26,2022,2,69000.0,0,0,1,1250000
Hyundai,6,Creta,22,2015,9,76000.0,0,1,1,650000
Kia,7,Sonet,44,2020,4,34500.0,0,0,0,935000
Ford,4,Ecosport,6,2016,8,130000.0,1,1,1,400000
Maruti Suzuki,2,Ertiga,12,2015,9,75000.0,1,0,1,435000
Volkswagen,1,Polo,25,2012,12,80000.0,1,1,1,300000
Maruti Suzuki,2,Wagon-R,32,2016,8,50000.0,1,0,0,245000
Tata,14,Nexon,45,2022,2,40000.0,0,1,0,680000
Maruti Suzuki,2,Ritz,43,2013,11,87000.0,1,0,1,385000
Toyota,5,Etios,46,2015,9,155000.0,1,1,1,589000
Volkswagen,1,CrossPolo,47,2014,10,80000.0,1,1,1,425000
Maruti Suzuki,2,Wagon-R,32,2014,10,84000.0,1,1,0,265000
Volkswagen,1,Polo,25,2021,3,18000.0,0,0,0,850000
Maruti Suzuki,2,Baleno,3,2017,7,47000.0,0,0,0,575000
Maruti Suzuki,2,Alto-K10,7,2011,13,82000.0,1,0,0,180000
Maruti Suzuki,2,Celerio,18,2015,9,35000.0,0,0,0,425000
Renault,9,Duster,31,2015,9,150000.0,0,1,1,450000
Toyota,5,Fortuner,48,2012,12,132000.0,1,0,1,1095000
Maruti Suzuki,2,Ertiga,12,2020,4,59000.0,0,0,0,980000
Tata,14,Nexon,45,2018,6,95000.0,0,1,0,575000
Tata,14,Indigo Ecs,49,2016,8,115000.0,1,1,1,110000
Mahindra,13,Thar,50,2022,2,110000.0,1,0,1,1675000
Toyota,5,Camry,51,2015,9,68000.0,0,1,0,1185000
Skoda,11,Kushaq,28,2021,3,74000.0,0,0,0,1199000
Maruti Suzuki,2,Ritz,43,2012,12,88000.0,1,0,0,385000
Hyundai,6,Grand i10,41,2014,10,47000.0,0,1,0,455000
Honda,0,Brio,52,2012,12,68000.0,1,0,0,235000
Honda,0,City ZX,53,2007,17,115000.0,1,1,0,265000
Hyundai,6,i10,37,2011,13,50000.0,1,1,0,150000
Honda,0,WRV,54,2017,7,98000.0,1,0,1,600000
Tata,14,Harrier,55,2019,5,67000.0,1,1,1,899000
Tata,14,Zest,56,2015,9,69000.0,1,1,0,340000
Maruti Suzuki,2,Eeco,57,2021,3,49000.0,1,0,0,540000
Maruti Suzuki,2,Swift-Dzire,8,2013,11,162000.0,1,1,1,390000
Hyundai,6,Creta,22,2023,1,35000.0,0,0,1,2025000
Maruti Suzuki,2,Wagon-R,32,2014,10,38000.0,1,0,0,370000
Hyundai,6,Creta,22,2020,4,105000.0,1,0,1,1050000
Volkswagen,1,VentoTest,1,2016,8,78000.0,0,0,0,555000
Hyundai,6,Creta,22,2018,6,66000.0,0,1,0,1075000
Toyota,5,Innova Crysta,14,2016,8,75000.0,1,0,1,1480000
Maruti Suzuki,2,Vitara-Brezza,19,2018,6,85600.0,1,0,1,750000
Maruti Suzuki,2,Ertiga,12,2012,12,155000.0,1,1,1,650000
Hyundai,6,i10,37,2010,14,46000.0,1,1,0,78000
Maruti Suzuki,2,Ciaz,58,2015,9,68000.0,1,0,0,330000
Ford,4,Ecosport,6,2018,6,73000.0,0,0,0,590000
Honda,0,City,0,2011,13,74000.0,0,1,0,375000
Maruti Suzuki,2,Swift,2,2018,6,65000.0,0,1,0,590000
Honda,0,City,0,2014,10,61000.0,0,0,0,685000
Maruti Suzuki,2,Swift,2,2005,19,98000.0,1,1,0,160000
Mahindra,13,XUV500,36,2017,7,76000.0,0,1,1,760000
Mahindra,13,XUV500,36,2016,8,89100.0,1,1,1,760000
Volkswagen,1,Polo,25,2018,6,73961.0,0,1,0,935000
Mahindra,13,Thar,50,2018,6,46850.0,1,1,1,880000
Mahindra,13,XUV500,36,2013,11,99000.0,1,1,1,470000
Maruti Suzuki,2,Sx4,59,2009,15,56328.0,1,0,0,265000
Mercedes-Benz,12,C-Class,29,2013,11,78000.0,0,1,0,790000
Hyundai,6,Eon,34,2014,10,41453.0,1,1,0,220000
Tata,14,Altroz,60,2021,3,33000.0,1,0,0,545000
Maruti Suzuki,2,Celerio,18,2018,6,37000.0,0,1,0,460000
Volkswagen,1,Polo,25,2015,9,65000.0,1,0,0,375000
Hyundai,6,Grand i10 Nios,61,2022,2,36000.0,0,0,0,690000
Toyota,5,Camry,51,2016,8,130000.0,0,1,0,1399999
Maruti Suzuki,2,Alto-800,62,2013,11,100000.0,1,1,0,160000
Hyundai,6,Creta,22,2019,5,48000.0,1,0,1,1065000
Skoda,11,Rapid,63,2017,7,70000.0,0,0,1,750000
Hyundai,6,Verna,26,2013,11,59000.0,1,1,0,425000
Mahindra,13,TUV,64,2015,9,72000.0,0,1,1,390000
Mercedes-Benz,12,E-Class,65,2012,12,74000.0,0,1,1,1295000
Honda,0,City,0,2018,6,78127.0,1,0,1,785000
Maruti Suzuki,2,Ciaz,58,2020,4,26000.0,1,0,0,775000
Renault,9,KWID,16,2017,7,65663.0,0,1,0,325000
Toyota,5,Fortuner,48,2015,9,160000.0,0,1,1,1250000
Maruti Suzuki,2,Baleno,3,2018,6,31000.0,1,0,0,549000
Hyundai,6,Creta,22,2019,5,55000.0,0,0,1,1299999
Hyundai,6,Alcazar,23,2022,2,37000.0,0,0,1,1820000
Honda,0,Brio,52,2014,10,32001.0,1,1,0,295000
Maruti Suzuki,2,Swift-Dzire,8,2024,0,22000.0,1,0,0,260000
Hyundai,6,i20,24,2010,14,45000.0,1,1,0,150000
Kia,7,Seltos,11,2021,3,41000.0,0,0,0,1390000
Volkswagen,1,Polo,25,2015,9,51000.0,1,1,0,499999
Toyota,5,Glanza,66,2021,3,28000.0,0,1,0,750000
Skoda,11,Rapid,63,2019,5,64800.0,0,0,1,799000
Jeep,15,Compass,67,2022,2,17300.0,0,0,0,1995000
Volkswagen,1,VentoTest,1,2013,11,38000.0,1,0,0,292000
Honda,0,City,0,2011,13,95000.0,0,1,0,280000
Honda,0,Brio,52,2012,12,72000.0,1,0,0,165000
Maruti Suzuki,2,Ertiga,12,2016,8,135000.0,1,1,1,875000
Toyota,5,Etios,46,2012,12,135000.0,1,1,1,395000
Volkswagen,1,VentoTest,1,2019,5,160000.0,1,0,1,695000
Tata,14,Harrier,55,2022,2,14000.0,0,0,1,1875000
Kia,7,Seltos,11,2020,4,50200.0,0,0,0,1300000
Maruti Suzuki,2,Alto-800,62,2014,10,47000.0,1,0,0,255000
Honda,0,City,0,2011,13,59600.0,1,1,0,210000
Maruti Suzuki,2,Ritz,43,2010,14,8000.0,0,1,0,185000
Maruti Suzuki,2,Wagon-R,32,2023,1,30000.0,1,0,0,675000
Renault,9,KWID,16,2017,7,54000.0,0,1,0,365000
Maruti Suzuki,2,Omni,68,1998,26,80000.0,1,1,0,75000
Chevrolet,16,Cruze,69,2011,13,100000.0,0,1,1,295000
Mahindra,13,XUV500,36,2017,7,48000.0,0,0,1,1199999
Hyundai,6,Verna,26,2013,11,150000.0,0,1,1,410000
Hyundai,6,Creta,22,2016,8,63000.0,1,1,0,650000
Honda,0,Amaze,70,2021,3,56001.0,0,0,1,1125000
Toyota,5,Innova Crysta,14,2017,7,25000.0,1,0,1,1565000
Honda,0,Jazz,71,2015,9,68001.0,1,1,0,444000
Renault,9,Scala,72,2013,11,72000.0,1,0,1,345000
Honda,0,City,0,2016,8,95000.0,1,1,0,535000
Maruti Suzuki,2,S-Presso,73,2021,3,39000.0,0,0,0,465000
Mahindra,13,XUV500,36,2013,11,60000.0,1,1,1,695000
Hyundai,6,Tucson,74,2017,7,72315.0,0,1,1,1035000
Hyundai,6,Verna,26,2014,10,82000.0,0,1,0,390000
Maruti Suzuki,2,Alto,75,2019,5,85000.0,0,1,0,280000
Hyundai,6,Santa Fe,76,2016,8,64000.0,0,0,1,1245000
Hyundai,6,Xcent,10,2016,8,68500.0,1,1,0,440000
MG,10,ASTOR,77,2022,2,32000.0,0,0,0,1275000
Audi,8,Q7,78,2014,10,45000.0,0,1,1,1200000
Volkswagen,1,VentoTest,1,2016,8,130000.0,0,1,0,525000
Maruti Suzuki,2,Alto-800,62,2019,5,69000.0,1,0,0,300000
Toyota,5,Innova Crysta,14,2017,7,112000.0,0,0,1,1551111
Mini,17,Cooper 5 DOOR,79,2014,10,32000.0,0,1,1,1900000
Volkswagen,1,VentoTest,1,2018,6,70673.0,0,0,1,775000
Maruti Suzuki,2,Baleno,3,2018,6,39848.0,1,0,0,479931
Audi,8,Q3,80,2016,8,77000.0,0,0,1,1500000
Maruti Suzuki,2,Alto,75,2008,16,111400.0,1,1,0,150000
Skoda,11,Rapid,63,2015,9,82000.0,0,1,1,325000
Maruti Suzuki,2,Swift-Dzire,8,2013,11,89000.0,1,1,1,361000
Tata,14,Hexa,81,2017,7,65110.0,1,0,1,695000
Hyundai,6,Creta Facelift,82,2022,2,25000.0,1,0,0,1375000
BMW,3,7 Series,83,2014,10,115000.0,0,0,1,1500000
Honda,0,Jazz,71,2015,9,64000.0,1,0,0,574999
Volkswagen,1,Polo,25,2013,11,61000.0,0,0,0,415000
Hyundai,6,Grand i10,41,2014,10,54000.0,0,1,0,479000
Mahindra,13,Thar,50,2022,2,14000.0,0,0,0,1550000
Tata,14,Bolt,84,2015,9,56000.0,1,0,0,235000
Jaguar,18,XF,85,2013,11,97763.0,0,1,1,1550000
Tata,14,Tiago,86,2021,3,74000.0,1,1,0,515000
Skoda,11,Rapid,63,2014,10,71000.0,0,1,0,395000
Mahindra,13,Thar,50,2020,4,40000.0,1,0,1,1195000
Hyundai,6,i20,24,2010,14,83000.0,1,1,0,235000
Toyota,5,Fortuner,48,2012,12,166000.0,1,1,1,1650000
Maruti Suzuki,2,Ertiga,12,2019,5,91000.0,1,0,1,1149000
Tata,14,Safari,87,2022,2,27000.0,1,0,1,1865000
Hyundai,6,Creta,22,2018,6,77620.0,0,0,1,1350000
Ford,4,Ecosport,6,2017,7,85000.0,1,1,1,649999
Hyundai,6,Grand i10,41,2014,10,80000.0,1,1,0,375556
Honda,0,City Hybrid eHEV,88,2016,8,77000.0,0,0,0,575000
Maruti Suzuki,2,Swift,2,2018,6,63259.0,0,1,1,520000
Ford,4,Ecosport,6,2017,7,110000.0,1,0,1,449999
Hyundai,6,i20,24,2023,1,14000.0,0,0,0,925000
Volkswagen,1,Tiguan,89,2018,6,52000.0,0,0,1,1915000
BMW,3,3 Series,90,2016,8,65000.0,0,1,1,1325000
Renault,9,Duster,31,2016,8,75000.0,0,1,1,595000
Maruti Suzuki,2,Swift,2,2007,17,135000.0,1,1,1,165000
Toyota,5,Innova,20,2014,10,105000.0,1,1,1,780000
BMW,3,7 Series,83,2013,11,61000.0,0,1,1,851000
Maruti Suzuki,2,Grand Vitara,91,2023,1,21209.0,1,0,0,1290000
Toyota,5,Glanza,66,2020,4,87000.0,1,0,0,733000
Renault,9,Duster,31,2016,8,130000.0,1,1,1,599000
Volvo,19,XC 90,92,2015,9,125000.0,0,1,1,1075000
Tata,14,Tiago,86,2018,6,30000.0,0,0,0,355000
Audi,8,A6,93,2015,9,78561.0,0,0,1,898970
Honda,0,City,0,2016,8,63000.0,1,1,0,600000
Honda,0,Amaze,70,2016,8,65000.0,1,0,0,410000
Volkswagen,1,Polo GTI,94,2015,9,102000.0,0,1,0,450000
Maruti Suzuki,2,Swift,2,2022,2,35000.0,0,0,0,745000
Volkswagen,1,Virtus,95,2022,2,50000.0,0,0,0,1299000
Maruti Suzuki,2,A-Star,96,2013,11,60000.0,0,1,0,299000
BMW,3,5 Series,97,2014,10,72000.0,0,1,1,1599000
Mini,17,Cooper S,98,2013,11,53000.0,0,1,0,1600000
Toyota,5,Etios Liva,99,2018,6,74000.0,1,1,1,850000
Mercedes-Benz,12,CLA,100,2016,8,20800.0,0,1,0,1700000
Hyundai,6,i20,24,2017,7,95000.0,1,1,0,565000
Mahindra,13,Thar,50,2021,3,13000.0,0,0,1,1700000
Mahindra,13,XUV700,101,2023,1,4000.0,1,0,0,2100000
Maruti Suzuki,2,Baleno,3,2021,3,57000.0,0,1,0,685000
Mahindra,13,Scorpio,102,2017,7,92000.0,1,0,1,1050000
MG,10,ASTOR,77,2021,3,12110.0,0,0,0,1295000
Hyundai,6,New i20,103,2022,2,13162.0,0,0,0,975000
Audi,8,A6,93,2013,11,110000.0,0,1,1,1150000
Hyundai,6,Elite i20,104,2017,7,52355.0,1,0,0,499555
Hyundai,6,i10,37,2013,11,40595.0,0,1,0,310000
Mahindra,13,Thar,50,2021,3,41000.0,1,1,1,1450000
Maruti Suzuki,2,Omni,68,2014,10,77500.0,0,1,0,1010000
Maruti Suzuki,2,Swift-Dzire,8,2018,6,55000.0,1,0,0,595000
Hyundai,6,i10,37,2013,11,80000.0,0,1,0,145000
Mercedes-Benz,12,GLA Class,38,2016,8,71000.0,0,1,0,1990000
Hyundai,6,Santro Xing,105,2007,17,65000.0,1,1,0,185000
Maruti Suzuki,2,Ertiga,12,2019,5,90000.0,1,0,1,900000
Fiat,20,Linea,106,2009,15,79742.0,1,1,0,165000
Audi,8,Q3,80,2017,7,45000.0,0,1,1,1690000
Toyota,5,Etios,46,2012,12,51000.0,0,1,0,260000
Mahindra,13,Thar,50,2023,1,24500.0,0,0,0,1410000
Honda,0,City,0,2021,3,125000.0,1,0,1,1075000
Toyota,5,Innova Crysta,14,2019,5,118000.0,0,1,1,1999000
Mahindra,13,Bolero,107,2017,7,105000.0,1,1,1,620000
Maruti Suzuki,2,maruti-suzuki-brezza,108,2021,3,35000.0,1,0,0,851000
Kia,7,Seltos,11,2022,2,30891.0,0,0,1,1875000
Hyundai,6,Alcazar,23,2023,1,2500.0,0,0,0,1800000
Maruti Suzuki,2,Swift,2,2019,5,32000.0,1,1,0,575000
Volvo,19,V40 Cross Country,109,2016,8,75000.0,0,0,0,1375000
MG,10,Hector,17,2019,5,71000.0,1,0,1,1275000
Audi,8,A6,93,2011,13,51000.0,0,1,0,1350000
Maruti Suzuki,2,Alto-K10,7,2015,9,75000.0,0,1,0,310000
Hyundai,6,Elite i20,104,2018,6,39500.0,1,0,0,545000
Renault,9,Captur,110,2018,6,120000.0,1,0,1,800000
Toyota,5,Innova,20,2016,8,69000.0,1,1,1,860000
Volkswagen,1,Passat,111,2012,12,68900.0,0,1,1,555000
Ford,4,Ecosport,6,2015,9,80000.0,0,1,0,465000
Maruti Suzuki,2,Alto-K10,7,2019,5,62000.0,1,0,0,360000
Hyundai,6,Venue,21,2022,2,55000.0,1,0,1,1250000
Volkswagen,1,Polo,25,2015,9,60000.0,1,1,0,460000
Toyota,5,Innova Crysta,14,2017,7,34000.0,1,0,1,1395000
Jeep,15,Compass,67,2017,7,49000.0,0,0,0,1151111
Hyundai,6,i20,24,2016,8,36000.0,1,1,0,450000
Mahindra,13,KUV 100,112,2016,8,85000.0,1,1,1,320000
Mahindra,13,Bolero Neo,113,2023,1,35000.0,0,1,1,1050000
Honda,0,Amaze,70,2015,9,160000.0,1,1,1,275000
Maruti Suzuki,2,Swift,2,2010,14,141000.0,1,1,1,330000
Hyundai,6,Verna,26,2014,10,100000.0,1,0,0,950000
Hyundai,6,Elantra,114,2016,8,88000.0,1,1,1,860000
Maruti Suzuki,2,Ciaz,58,2017,7,76000.0,1,1,0,480000
Mercedes-Benz,12,M-Class,115,2014,10,48000.0,0,0,1,1745000
Skoda,11,Kushaq,28,2022,2,38917.0,1,0,0,1225000
Maruti Suzuki,2,Baleno,3,2016,8,55000.0,0,0,0,655000
Nissan,21,Terrano,116,2015,9,84000.0,1,1,1,500000
Hyundai,6,Elantra,114,2014,10,120000.0,0,1,1,550000
Maruti Suzuki,2,Ertiga,12,2022,2,8638.0,1,0,0,1150000
Maruti Suzuki,2,Swift Dzire,117,2013,11,62000.0,1,1,0,350000
Honda,0,Amaze,70,2014,10,86131.0,1,1,1,300000
Maruti Suzuki,2,Swift,2,2021,3,29000.0,0,0,0,765000
Hyundai,6,Verna,26,2023,1,15120.0,0,0,0,1550000
MG,10,Hector Plus,35,2022,2,11000.0,0,0,0,1850000
Maruti Suzuki,2,Ciaz,58,2017,7,63000.0,1,0,0,750000
Skoda,11,Rapid,63,2021,3,41189.0,0,0,0,1225000
Mahindra,13,Scorpio-N,118,2022,2,20000.0,1,0,1,1945000
Mercedes-Benz,12,C-Class,29,2011,13,64000.0,0,1,1,975000
Kia,7,Seltos,11,2020,4,62500.0,1,0,1,945000
Toyota,5,Innova,20,2012,12,121000.0,1,0,1,400000
Maruti Suzuki,2,Swift,2,2018,6,38000.0,1,1,0,480000
Mahindra,13,Thar,50,2021,3,30000.0,0,0,1,1540000
Maruti Suzuki,2,Swift-Dzire-Tour,119,2010,14,130000.0,1,1,1,260000
Maruti Suzuki,2,Wagon-R,32,2021,3,71000.0,1,0,0,475000
Hyundai,6,Creta,22,2023,1,4800.0,0,1,1,1950000
Maruti Suzuki,2,Baleno,3,2017,7,59000.0,1,0,0,515000
Honda,0,City,0,2011,13,75875.0,0,1,0,295000
Kia,7,Seltos,11,2020,4,109000.0,1,0,1,975000
Mercedes-Benz,12,E-Class,65,2006,18,92000.0,0,1,1,500000
Maruti Suzuki,2,XL6,120,2022,2,76000.0,1,0,0,1000000
Hyundai,6,Verna,26,2016,8,81982.0,0,0,1,695000
Mahindra,13,Scorpio,102,2017,7,59000.0,1,0,1,850000
Maruti Suzuki,2,Swift,2,2024,0,6000.0,0,0,0,1150000
BMW,3,3 Series,90,2016,8,53000.0,0,1,1,1399000
BMW,3,3 Series GT,13,2014,10,99000.0,0,1,1,1750000
Mercedes-Benz,12,E-Class,65,2012,12,73595.0,0,1,0,699000
Hyundai,6,Grand i10,41,2018,6,51000.0,1,0,0,475000
Hyundai,6,Verna,26,2018,6,57546.0,0,0,0,849999
Maruti Suzuki,2,Swift,2,2018,6,48000.0,0,1,0,535000
Volkswagen,1,VentoTest,1,2011,13,22000.0,1,0,0,299999
Maruti Suzuki,2,XL6,120,2021,3,22864.0,0,0,0,1095000
Maruti Suzuki,2,Vitara-Brezza,19,2017,7,64000.0,1,0,1,585000
Hyundai,6,Grand i10,41,2013,11,88000.0,1,0,1,410000
Ford,4,Figo,121,2011,13,30000.0,1,1,0,149000
Hyundai,6,Grand i10 Nios,61,2020,4,33145.0,1,0,0,600000
Skoda,11,Rapid,63,2011,13,60000.0,1,0,0,220000
Jeep,15,Compass,67,2017,7,61000.0,1,1,1,1150000
Maruti Suzuki,2,Ertiga,12,2014,10,120000.0,0,1,1,425000
Mahindra,13,XUV500,36,2016,8,87000.0,1,0,1,1050000
Hyundai,6,Venue,21,2022,2,38000.0,1,0,0,1040000
Jeep,15,Compass,67,2017,7,55000.0,0,1,0,1011000
Hyundai,6,Creta,22,2019,5,35000.0,1,0,1,1145000
Honda,0,City,0,2011,13,82000.0,0,1,0,299000
Toyota,5,Innova Crysta,14,2019,5,65000.0,0,0,1,1400000
Renault,9,Duster,31,2015,9,90000.0,1,0,1,575000
Honda,0,City,0,2023,1,9500.0,0,0,0,1475000
Renault,9,Duster,31,2013,11,86250.0,1,0,1,290000
Honda,0,City ZX,53,2024,0,69000.0,0,0,0,1550000
Volkswagen,1,Ameo,122,2017,7,80000.0,1,0,1,475000
Hyundai,6,Creta,22,2021,3,96000.0,0,0,1,1700000
Maruti Suzuki,2,XL6,120,2019,5,65000.0,1,0,0,925000
Maruti Suzuki,2,Swift,2,2010,14,29000.0,1,0,0,150000
Hyundai,6,i10,37,2013,11,40000.0,0,1,0,200000
Mahindra,13,Scorpio,102,2010,14,65000.0,1,1,1,290000
Maruti Suzuki,2,Celerio,18,2018,6,38000.0,0,1,0,380000
Maruti Suzuki,2,Wagon-R,32,2015,9,66000.0,0,1,0,260000
Maruti Suzuki,2,Ciaz,58,2019,5,29000.0,1,0,0,850000
Toyota,5,Fortuner,48,2016,8,90000.0,1,1,1,1545000
Hyundai,6,Creta,22,2015,9,88000.0,1,1,1,750000
Maruti Suzuki,2,Swift Dzire,117,2016,8,49000.0,0,1,0,599000
Maruti Suzuki,2,Celerio,18,2016,8,36000.0,0,0,0,399999
Honda,0,Jazz,71,2011,13,61000.0,1,1,0,225000
Hyundai,6,Grand i10,41,2018,6,62000.0,1,1,0,375000
Mercedes-Benz,12,CLA,100,2019,5,28370.0,0,0,1,1999999
Ford,4,Endeavour,123,2016,8,86000.0,0,0,1,1825000
Hyundai,6,i10,37,2011,13,68000.0,1,1,0,230000
Ford,4,Ecosport,6,2019,5,54000.0,1,0,1,810000
Hyundai,6,i20,24,2010,14,72000.0,0,1,0,275000
Renault,9,Triber,124,2020,4,59000.0,1,0,0,675000
Skoda,11,Rapid,63,2015,9,59000.0,0,1,0,550000
Hyundai,6,Santa Fe,76,2016,8,64200.0,0,0,1,1175000
Audi,8,A4,27,2015,9,53000.0,0,1,1,1750000
Hyundai,6,Santro Xing,105,2010,14,69000.0,0,1,0,120000
Audi,8,A6,93,2016,8,40000.0,0,0,1,1595000
Maruti Suzuki,2,Eeco,57,2011,13,53750.0,1,0,0,155000
Kia,7,Seltos,11,2022,2,15000.0,0,0,0,1800000
Maruti Suzuki,2,Wagon-R,32,2011,13,75000.0,1,1,0,245000
Maruti Suzuki,2,Omni,68,2010,14,88000.0,1,1,0,95000
BMW,3,5 Series,97,2013,11,76064.0,0,1,1,1425000
Mahindra,13,XUV700,101,2022,2,6789.0,0,0,1,2000000
Hyundai,6,Grand i10,41,2017,7,50523.0,1,1,0,370000
Mercedes-Benz,12,E-Class,65,2014,10,74000.0,0,0,1,1384999
Toyota,5,Glanza,66,2020,4,38000.0,0,0,0,574000
Maruti Suzuki,2,Alto,75,2011,13,55000.0,1,1,0,115000
Toyota,5,Innova,20,2014,10,130000.0,1,0,1,1360000
Toyota,5,Camry,51,2014,10,108000.0,0,0,0,1400000
Honda,0,City,0,2018,6,58000.0,1,0,0,574000
Tata,14,Nexon,45,2020,4,49000.0,1,0,1,450000
Force,22,Motors FM Gurkha,125,2023,1,9900.0,1,0,1,1550000
Renault,9,KWID,16,2017,7,67000.0,1,1,0,250000
Maruti Suzuki,2,Swift,2,2023,1,11000.0,0,0,0,725000
Volkswagen,1,Polo,25,2020,4,35000.0,0,0,0,1170000
Honda,0,City,0,2017,7,28000.0,0,0,0,685000
Maruti Suzuki,2,Celerio,18,2017,7,142000.0,0,0,0,345000
Hyundai,6,i20,24,2014,10,62000.0,1,0,0,421000
Renault,9,KWID,16,2019,5,18000.0,1,0,0,325000
Hyundai,6,i20,24,2019,5,48000.0,1,0,0,525000
Maruti Suzuki,2,Alto-K10,7,2017,7,65000.0,0,0,0,300000
Audi,8,Q5,126,2014,10,57000.0,0,0,1,1285000
Maruti Suzuki,2,Ciaz,58,2019,5,73000.0,0,1,0,695000
Jaguar,18,XF,85,2014,10,78000.0,0,0,1,995000
BMW,3,5 Series,97,2010,14,130000.0,0,1,0,280000
Hyundai,6,i20,24,2012,12,74000.0,1,1,0,250000
Maruti Suzuki,2,Alto-K10,7,2015,9,18000.0,0,1,0,350000
Honda,0,City,0,2013,11,85000.0,0,1,0,400000
Maruti Suzuki,2,Celerio,18,2017,7,67000.0,0,1,0,450000
Maruti Suzuki,2,Alto-800,62,2023,1,9000.0,1,0,0,490000
Mahindra,13,Scorpio,102,2015,9,76000.0,1,1,1,850000
Maruti Suzuki,2,Swift,2,2019,5,7000.0,0,1,0,650000
Maruti Suzuki,2,Grand Vitara,91,2024,0,1600.0,1,0,0,1350000
Hyundai,6,Elantra,114,2012,12,71000.0,0,1,0,445000
Honda,0,WRV,54,2017,7,50000.0,1,1,1,725000
Maruti Suzuki,2,Swift,2,2018,6,42175.0,0,0,0,429000
Toyota,5,Etios,46,2012,12,115000.0,1,1,1,325000
