Brand,brand_number,model,model_number,Year,Age,kmDriven,Transmission,Owner,FuelType,AskPrice
Volkswagen,1,VentoTest,1,2012,12,90000.0,1,0,0,290000
Maruti Suzuki,2,Eeco,57,2019,5,81520.0,0,0,2,360000
Hyundai,6,Verna,26,2019,5,52000.0,1,1,2,695000
Hyundai,6,i20,24,2013,11,68000.0,1,1,2,379000
Honda,0,City,0,2012,12,60000.0,0,1,2,321000
Maruti Suzuki,2,Swift,2,2023,1,30000.0,1,0,2,765000
Volkswagen,1,VentoTest,1,2013,11,65000.0,0,0,0,349000
Maruti Suzuki,2,Ciaz,58,2017,7,93000.0,1,1,1,600000
Maruti Suzuki,2,Eeco,57,2023,1,35000.0,0,1,2,510000
Maruti Suzuki,2,Wagon-R-1-0,211,2017,7,84127.0,1,0,0,375000
Honda,0,City,0,2019,5,37000.0,0,1,0,935000
Renault,9,Duster,31,2017,7,58000.0,1,0,1,555000
Tata,14,Tigor,153,2020,4,61000.0,0,0,2,561000
Maruti Suzuki,2,Wagon-R-1-0,211,2013,11,70000.0,1,1,0,220000
Maruti Suzuki,2,800,183,2002,22,51000.0,1,0,0,78000
Nissan,21,Magnite,234,2022,2,17000.0,1,0,0,745000
Maruti Suzuki,2,Celerio,18,2015,9,72000.0,0,1,0,367000
Tata,14,Indica V2,233,2010,14,82000.0,1,0,1,135000
Hyundai,6,Grand i10 Nios,61,2021,3,20121.0,1,1,0,665000
Maruti Suzuki,2,Eeco,57,2019,5,95000.0,0,0,2,430000
Mahindra,13,XUV 300,163,2021,3,17000.0,1,1,0,925000
Maruti Suzuki,2,Ertiga,12,2023,1,62000.0,1,0,2,1260000
Maruti Suzuki,2,Ertiga,12,2020,4,47000.0,0,0,2,995000
Mahindra,13,Bolero,107,2018,6,48248.0,1,1,1,750000
Mahindra,13,Bolero Neo,113,2022,2,42000.0,1,0,1,905000
Honda,0,City,0,2015,9,71800.0,1,1,2,470000
Maruti Suzuki,2,Wagon-R,32,2015,9,85000.0,1,1,0,298000
Maruti Suzuki,2,Swift-Dzire,8,2013,11,41000.0,0,0,2,385000
Renault,9,Duster,31,2013,11,86000.0,1,1,1,225000
Maruti Suzuki,2,Celerio,18,2017,7,64000.0,0,1,2,390000
